Index,Date,RSI,Momentum,Zone
VIX,2026-04-20,36.26,RISING,WEAK
NIFTYPHARMA,2026-04-20,43.56,FALLING,WEAK
FINNIFTY,2026-04-09,49.75,FALLING,NEUTRAL
PSUBANK,2026-04-09,50.14,FALLING,NEUTRAL
PVTBANK,2026-04-09,51.28,FALLING,NEUTRAL
BANKNIFTY,2026-04-20,61.45,FALLING,STRONG
NIFTYAUTO,2026-04-20,62.5,FALLING,STRONG
NIFTY,2026-04-20,63.44,FALLING,STRONG
NIFTYFMCG,2026-04-20,65.48,FALLING,STRONG
NIFTYIT,2026-04-20,67.32,FALLING,STRONG
NIFTYNEXT50,2026-04-20,73.5,FALLING,OVERBOUGHT
NIFTYREALTY,2026-04-20,73.71,FALLING,OVERBOUGHT
NIFTYMETAL,2026-04-20,86.28,FALLING,OVERBOUGHT
