Index,Close,VWAP,Distance_%,Zone
NIFTYREALTY,776.55,704.08,10.29,OVEREXTENDED
NIFTYMETAL,12548.0,11587.42,8.29,OVEREXTENDED
NIFTYNEXT50,68569.35,64101.52,6.97,OVEREXTENDED
NIFTYAUTO,26483.1,24902.27,6.35,OVEREXTENDED
NIFTYIT,31539.75,29962.75,5.26,OVEREXTENDED
BANKNIFTY,56301.95,53572.47,5.09,OVEREXTENDED
NIFTY,24231.3,23256.25,4.19,OVEREXTENDED
PVTBANK,26259.75,25538.6,2.82,ABOVE_VWAP
FINNIFTY,25685.85,25027.72,2.63,ABOVE_VWAP
NIFTYFMCG,48290.4,47190.09,2.33,ABOVE_VWAP
PSUBANK,8605.7,8480.69,1.47,ABOVE_VWAP
NIFTYPHARMA,22435.65,22272.0,0.73,FAIR_VALUE
VIX,18.67,22.9,-18.48,DEEP_DISCOUNT
