Index,Date,File,CE_OI,PE_OI,PCR,Signal
BANKNIFTY,2026-04-24,BANKNIFTY.csv,53194440500,46484477960,0.87,BEARISH
BANKNIFTY,2026-04-24,BANKNIFTY.parquet,53194440500,46484477960,0.87,BEARISH
FINNIFTY,2026-04-24,FINNIFTY.csv,15858487720,13817720070,0.87,BEARISH
FINNIFTY,2026-04-24,FINNIFTY.parquet,15858487720,13817720070,0.87,BEARISH
NIFTY,2026-04-24,NIFTY.csv,53679441700,55289466135,1.03,NEUTRAL
NIFTY,2026-04-24,NIFTY.parquet,53679441700,55289466135,1.03,NEUTRAL
