Index,Date,File,CE_OI,PE_OI,PCR,Signal
BANKNIFTY,2026-04-17,BANKNIFTY.csv,53089091420,46381268540,0.87,BEARISH
BANKNIFTY,2026-04-17,BANKNIFTY.parquet,53089091420,46381268540,0.87,BEARISH
FINNIFTY,2026-04-17,FINNIFTY.csv,15855996940,13815422010,0.87,BEARISH
FINNIFTY,2026-04-17,FINNIFTY.parquet,15855996940,13815422010,0.87,BEARISH
NIFTY,2026-04-17,NIFTY.csv,52465243055,54022681900,1.03,NEUTRAL
NIFTY,2026-04-17,NIFTY.parquet,52465243055,54022681900,1.03,NEUTRAL
