Index,Date,File,CE_OI,PE_OI,PCR,Signal
BANKNIFTY,2026-04-22,BANKNIFTY.csv,53148979220,46442800790,0.87,BEARISH
BANKNIFTY,2026-04-22,BANKNIFTY.parquet,53148979220,46442800790,0.87,BEARISH
FINNIFTY,2026-04-22,FINNIFTY.csv,15857166940,13816549170,0.87,BEARISH
FINNIFTY,2026-04-22,FINNIFTY.parquet,15857166940,13816549170,0.87,BEARISH
NIFTY,2026-04-22,NIFTY.csv,53165053565,54854732425,1.03,NEUTRAL
NIFTY,2026-04-22,NIFTY.parquet,53165053565,54854732425,1.03,NEUTRAL
