Index,Date,File,CE_OI,PE_OI,PCR,Signal
BANKNIFTY,2026-04-20,BANKNIFTY.csv,53108727020,46400888900,0.87,BEARISH
BANKNIFTY,2026-04-20,BANKNIFTY.parquet,53108727020,46400888900,0.87,BEARISH
FINNIFTY,2026-04-20,FINNIFTY.csv,15856330840,13815684930,0.87,BEARISH
FINNIFTY,2026-04-20,FINNIFTY.parquet,15856330840,13815684930,0.87,BEARISH
NIFTY,2026-04-20,NIFTY.csv,52700238105,54289460660,1.03,NEUTRAL
NIFTY,2026-04-20,NIFTY.parquet,52700238105,54289460660,1.03,NEUTRAL
