Index,Close,ADX,+DI,-DI,Signal
PSUBANK,8605.7,47.32,30.27,32.44,DOWNTREND
PVTBANK,26259.75,45.19,30.61,32.12,DOWNTREND
FINNIFTY,25685.85,43.66,30.47,34.31,DOWNTREND
NIFTYFMCG,48377.9,41.29,30.66,17.68,UPTREND
NIFTYNEXT50,69300.6,31.07,40.65,23.37,UPTREND
BANKNIFTY,56086.4,30.0,33.88,24.26,UPTREND
NIFTYIT,31817.5,28.42,42.17,12.69,UPTREND
NIFTYAUTO,26382.75,28.31,40.47,18.19,UPTREND
NIFTY,24196.75,28.24,38.11,23.8,UPTREND
VIX,18.09,25.95,13.37,32.92,DOWNTREND
NIFTYREALTY,779.55,25.78,39.57,20.46,UPTREND
NIFTYMETAL,12740.2,25.08,44.82,13.0,UPTREND
